AverageMotorStatorCurrent,AverageMotorPhaseVoltage,MotorActualTorque,TargetTorque,MotorRPM,PropotionalSpeedLimit,CalculatedBatteryCurrent,ControllerCapacitorVoltage,ThrottleInput,Synced,timeStamp
11.0,2.6875,3.125,3.1875,137.0,324,0.3125,99.875,2.41796875,0,1685794221880
11.0,3.5,3.25,3.0625,142.0,315,0.5,99.875,2.34765625,0,1685794221982
4.0,3.5,-2.3125,1.8125,167.0,211,0.5,99.875,2.23828125,0,1685794222081
19.0,1.125,-4.0,1.625,146.0,167,-0.0625,99.8125,2.1796875,0,1685794222182
7.0,0.75,-0.6875,1.5,68.0,154,-0.0625,99.8125,2.1796875,0,1685794222284
4.0,0.375,1.5,2.5,45.0,179,-0.0625,99.8125,2.48828125,0,1685794222382
10.0,2.6875,2.4375,4.0,106.0,250,0.25,99.8125,2.48828125,0,1685794222480
10.0,3.875,2.8125,3.5625,155.0,304,0.375,99.875,2.4765625,0,1685794222581
12.0,4.25,2.9375,3.5625,199.0,350,0.5625,99.8125,2.47265625,0,1685794222681
13.0,2.3125,3.25,3.4375,160.0,351,0.6875,99.8125,2.47265625,0,1685794222780
19.0,1.125,5.0,6.375,81.0,387,0.5,99.8125,2.94921875,0,1685794222881
30.0,3.5,7.5625,7.6875,75.0,461,0.8125,99.875,2.98046875,0,1685794222981
32.0,5.4375,7.875,7.5625,154.0,546,1.5625,99.8125,2.765625,0,1685794223080
17.0,6.1875,3.375,2.5625,246.0,337,2.0,99.8125,2.15234375,0,1685794223181
7.0,1.9375,-1.6875,1.0625,217.0,276,0.75,99.875,2.12890625,0,1685794223280
4.0,1.5,0.875,1.0625,111.0,223,0.25,99.8125,2.140625,0,1685794223381
0.0,1.9375,0.125,1.1875,91.0,185,0.125,99.875,2.16796875,0,1685794223480
7.0,2.3125,-2.0,0.9375,95.0,159,0.0,99.8125,2.15625,0,1685794223579
21.0,1.9375,-5.3125,0.4375,119.0,137,-0.1875,99.875,2.01953125,0,1685794223682
26.0,0.375,-6.375,0.0,110.0,106,-0.1875,99.8125,2.03125,0,1685794223782
12.0,0.375,-1.9375,0.0,43.0,78,0.0,99.875,2.0078125,0,1685794223881
0.0,0.75,0.0,0.0,10.0,56,0.0,99.8125,1.93359375,0,1685794223982
